         30372981 function calls (30365541 primitive calls) in 35.662 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      418    0.004    0.000    0.146    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\frame.py:4118(_getitem_bool_array)
        1    0.044    0.044    0.146    0.146 {built-in method builtins.sorted}
     3393    0.125    0.000    0.125    0.000 C:\Users\hjmne\PycharmProjects\chest\equity_domain.py:72(<listcomp>)
      418    0.001    0.000    0.118    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\ops\common.py:62(new_method)
      418    0.001    0.000    0.116    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\arraylike.py:38(__eq__)
   161392    0.060    0.000    0.116    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\dtypes\inference.py:334(is_hashable)
      418    0.003    0.000    0.116    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\series.py:6101(_cmp_method)
   154049    0.052    0.000    0.113    0.000 C:\Users\hjmne\PycharmProjects\chest\bookkeeping.py:750(get_position_space)
   158774    0.111    0.000    0.111    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\arrays\datetimes.py:2310(_construct_from_dt64_naive)
   635099    0.110    0.000    0.110    0.000 {built-in method _abc._abc_instancecheck}
    59996    0.099    0.000    0.101    0.000 C:\Users\hjmne\PycharmProjects\chest\bookkeeping.py:97(<lambda>)
   318802    0.069    0.000    0.101    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\dtypes\common.py:123(<lambda>)
   119992    0.100    0.000    0.100    0.000 {built-in method _locale.setlocale}
   158774    0.100    0.000    0.100    0.000 {built-in method numpy.datetime_data}
   119992    0.099    0.000    0.099    0.000 {method 'match' of 're.Pattern' objects}
   317548    0.073    0.000    0.099    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\dtypes\common.py:1194(<lambda>)
      418    0.003    0.000    0.097    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\generic.py:4139(_take_with_is_copy)
      418    0.004    0.000    0.090    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\generic.py:4024(take)
   160029    0.089    0.000    0.089    0.000 {built-in method __new__ of type object at 0x00007FFE9D30EF90}
